real_dur;target_dur; dur_diff ;real_SOA;target_SOA;SOA_diff;trial_dur;trial_dur_plus_jitter
1,506899629;1,5; 0,0068996 ;1,497374928;1,5;-0,002625072;2,006881429;2,878082428
0,499982493;0,5;-0,0000175 ;0,962870535;0,966;-0,003129465;2,006885407;2,710416735
0,999964638;1;-0,0000354 ;1,112649486;1,116;-0,003350514;2,006883964;3,869656586
1,006883449;1; 0,0068834 ;1,462644166;1,466;-0,003355834;2,006854949;2,798203866
1,506900385;1,5; 0,0069004 ;1,728739006;1,732;-0,003260994;2,006885056;3,425286206
1,006920069;1; 0,0069201 ;0,99679915;1;-0,00320085;2,006900738;3,54395475
1,006910673;1; 0,0069107 ;0,462743415;0,466;-0,003256585;2,006882787;3,752469615
1,499954124;1,5;-0,0000459 ;1,962643579;1,966;-0,003356421;2,00688198;3,084457079
1,506900829;1,5; 0,0069008 ;0,462639135;0,466;-0,003360865;2,006884485;2,918194435
1,506896722;1,5; 0,0068967 ;1,962569686;1,966;-0,003430314;1,999963026;2,873043886
0,999995471;1;-0,0000045 ;0,112578866;0,116;-0,003421134;1,999967484;2,750496466
0,50001616;0,5; 0,0000162 ;0,112704999;0,116;-0,003295001;2,006886929;3,381608299
1,006882671;1; 0,0068827 ;0,001312099;0;0,001312099;2,006857264;3,047624099
0,999969729;1;-0,0000303 ;1,462593599;1,466;-0,003406401;1,99996682;3,597487899
1,506896929;1,5; 0,0068969 ;1,496627392;1,5;-0,003372608;2,006878458;3,045224992
0,499952333;0,5;-0,0000477 ;0,612730937;0,616;-0,003269063;2,006890544;3,200568937
1,006918842;1; 0,0069188 ;0,00133797;0;0,00133797;2,006913349;2,97638417
0,506923844;0,5; 0,0069238 ;0,496654172;0,5;-0,003345828;2,006878544;3,002570772
1,506867202;1,5; 0,0068672 ;0,462664794;0,466;-0,003335206;2,006878273;3,226464594
0,499983329;0,5;-0,0000167 ;0,612675599;0,616;-0,003324401;2,006910185;2,917575599
1,006888956;1; 0,0068890 ;0,001280772;0;0,001280772;2,006858249;3,947117972
1,006914285;1; 0,0069143 ;0,462637043;0,466;-0,003362957;2,006878822;3,661644843
1,006913456;1; 0,0069135 ;1,228669672;1,232;-0,003330328;2,006885702;3,930496172
0,506931722;0,5; 0,0069317 ;0,112633421;0,116;-0,003366579;1,999963562;3,256052221
0,506898329;0,5; 0,0068983 ;0,496598492;0,5;-0,003401508;2,006885707;3,206102092
0,499980251;0,5;-0,0000197 ;0,001375999;0;0,001375999;2,006882058;2,817098799
0,506895329;0,5; 0,0068953 ;0,612587657;0,616;-0,003412343;1,999908526;2,731209657
1,506900629;1,5; 0,0069006 ;1,728639457;1,732;-0,003360543;1,999930742;3,202405557
1,506894629;1,5; 0,0068946 ;0,112713592;0,116;-0,003286408;2,006911029;3,236935992
1,506900291;1,5; 0,0069003 ;1,72858037;1,732;-0,00341963;1,999938466;2,70161737
0,506934493;0,5; 0,0069345 ;0,228596092;0,232;-0,003403908;2,006918736;2,917227692
1,506886734;1,5; 0,0068867 ;1,496574055;1,5;-0,003425945;2,006856698;3,626692955
1,006910267;1; 0,0069103 ;1,228574884;1,232;-0,003425116;1,999934571;2,967505184
1,006910778;1; 0,0069108 ;0,112564866;0,116;-0,003435134;2,006885331;2,767776066
0,499986236;0,5;-0,0000138 ;0,728762899;0,732;-0,003237101;2,006884542;3,146810299
1,006918711;1; 0,0069187 ;0,228571764;0,232;-0,003428236;2,006884107;3,935681864
0,999973876;1;-0,0000261 ;1,112571948;1,116;-0,003428052;2,006919074;3,303465348
